,class,suff,to_cut
427,V,are,8
428,V,e,0
429,A,,0
430,V,iare,4
431,V,e,3
432,V,are,3
433,V,re,3
434,V,re,4
435,V,re,4
436,V,re,4
437,V,re,0
438,V,re,2
439,V,are,6
440,V,are,4
441,V,are,3
442,V,re,3
443,A,re,3
444,V,are,4
445,V,re,5
446,V,re,4
447,A,o,1
448,V,are,5
449,V,re,3
450,V,are,3
451,V,are,4
452,A,o,1
453,A,o,0
454,V,are,4
455,V,are,5
456,V,ttere,3
457,V,re,2
458,V,re,3
459,V,re,5
460,A,ore,4
461,V,re,3
462,V,re,3
463,V,,2
464,A,o,1
465,V,are,6
466,V,re,3
467,V,re,3
468,V,are,4
469,V,re,2
470,V,e,3
471,V,e,3
472,N,,0
473,N,,0
474,V,re,5
475,V,re,2
476,V,re,3
477,V,are,3
478,V,re,5
479,V,are,3
480,V,re,4
481,V,re,1
482,V,re,4
483,V,re,3
484,A,re,3
485,V,re,2
486,V,iare,6
487,V,are,4
488,A,o,1
489,V,are,5
490,V,ere,1
491,V,re,4
492,V,are,6
493,A,o,1
494,V,are,5
495,V,e,0
496,A,re,3
497,V,are,4
498,V,re,2
499,V,e,4
500,V,re,2
501,V,re,5
502,A,o,1
503,V,are,1
504,V,,0
505,V,re,3
506,V,re,3
507,V,re,3
508,V,re,1
509,V,are,4
510,N,,0
511,A,re,4
512,V,e,3
513,V,are,6
514,V,re,2
515,V,e,3
516,V,re,2
517,V,are,2
518,V,re,2
519,V,re,3
520,V,re,3
521,V,e,2
522,V,are,5
523,V,re,1
524,V,are,5
525,V,are,1
526,V,re,2
527,N,e,1
528,V,,0
529,V,are,1
530,V,,0
531,V,re,3
532,V,re,3
533,V,are,3
534,V,ere,2
535,V,,0
536,V,,2
537,V,re,3
538,V,are,6
539,N,,0
540,V,,0
541,N,nte,3
542,V,are,5
543,V,re,2
544,V,re,3
545,V,re,3
546,V,re,2
547,V,re,2
548,V,are,6
549,A,o,1
550,A,ire,4
551,V,,0
552,V,re,3
553,V,are,6
554,V,are,5
555,V,,3
556,V,dere,4
557,N,a,1
558,V,re,4
559,V,are,6
560,V,re,4
561,N,,0
562,V,are,5
563,V,re,2
564,V,re,2
565,V,re,2
566,V,re,5
567,V,iare,5
568,V,re,2
569,V,rre,0
570,V,re,3
571,V,re,2
572,V,re,3
573,A,o,1
574,V,re,2
575,V,re,2
576,V,re,5
577,V,re,3
578,V,re,3
579,V,e,2
580,V,re,4
581,V,re,2
582,A,re,3
583,V,are,4
584,V,re,4
585,V,re,2
586,V,re,2
587,A,o,1
588,V,are,1
589,V,,4
590,N,o,1
591,V,ere,3
592,V,re,3
593,V,e,3
594,V,re,2
595,V,e,0
596,V,re,2
597,V,edere,1
598,V,iare,4
599,V,e,0
600,V,re,3
601,N,,0
602,V,are,2
603,V,are,3
604,V,re,4
605,V,are,6
606,V,are,4
607,A,o,1
608,V,re,2
609,A,o,1
610,V,are,3
611,V,,5
612,V,re,1
613,N,o,1
614,N,,0
615,V,re,3
616,V,are,6
617,V,are,4
618,V,are,4
619,V,re,2
620,V,re,4
621,V,re,3
622,V,re,3
623,V,are,4
624,V,are,8
625,V,rre,5
626,A,to,0
627,V,iare,3
628,V,ire,4
629,A,o,1
630,V,are,3
631,V,are,1
632,V,re,3
633,V,re,5
634,A,o,1
635,V,re,2
636,V,are,3
637,V,ere,3
638,V,are,6
639,A,o,1
640,V,e,2
641,V,ire,0
642,N,,0
643,N,o,1
644,N,tta,3
645,V,re,4
646,V,re,4
647,V,re,1
648,N,are,1
649,V,,3
650,V,e,2
651,V,are,1
652,V,,2
653,V,re,1
654,A,,0
655,V,are,4
656,V,are,7
657,V,re,4
658,V,re,4
659,V,e,3
660,V,re,4
661,V,re,0
662,V,re,2
663,V,are,3
664,V,,1
665,V,are,4
666,V,re,3
667,V,re,1
668,A,re,3
669,V,are,3
670,V,re,1
671,V,e,0
672,A,a,1
673,V,are,1
674,N,a,1
675,N,are,1
676,V,re,4
677,V,re,3
678,V,are,6
679,V,re,2
680,V,,4
681,V,,4
682,V,are,3
683,V,re,2
684,V,ere,4
685,V,are,3
686,V,re,0
687,V,are,3
688,V,are,7
689,V,re,2
690,V,re,2
691,A,o,1
692,A,,0
693,V,ndere,2
694,V,are,4
695,V,re,3
696,A,re,3
697,V,re,5
698,V,re,3
699,V,ere,4
700,V,re,5
701,V,are,1
702,V,are,1
703,V,are,8
704,V,re,2
705,V,are,4
706,V,re,2
707,V,re,3
708,V,re,5
709,V,re,5
710,V,re,2
711,V,re,5
712,N,o,2
713,V,e,2
714,V,are,4
715,V,are,7
716,V,re,4
717,V,,4
718,V,are,3
719,N,,0
720,V,are,4
721,V,are,5
722,V,are,3
723,A,o,2
724,V,re,5
725,N,,0
726,V,are,4
727,N,,0
728,V,re,1
729,V,re,3
730,V,e,2
731,V,re,2
732,V,re,3
733,V,are,6
734,V,are,2
735,V,re,4
736,V,are,1
737,V,re,1
738,V,e,2
739,V,re,2
740,V,e,2
741,V,re,4
742,V,re,3
743,A,to,2
744,V,re,4
745,V,re,3
746,V,re,3
747,V,re,2
748,V,e,3
749,V,re,4
750,V,e,3
751,V,are,6
752,V,re,2
753,V,re,2
754,V,re,3
755,V,are,2
756,V,re,2
757,V,re,0
758,V,re,2
759,V,are,6
760,V,are,6
761,V,re,5
762,A,o,1
763,A,o,1
764,V,are,6
765,V,re,1
766,V,re,1
767,V,re,2
768,V,are,6
769,V,are,4
770,V,re,5
771,V,are,6
772,V,re,3
773,V,are,7
774,V,are,5
775,V,re,3
776,V,e,2
777,V,are,3
778,N,e,1
779,V,are,6
780,V,re,3
781,V,re,4
782,V,re,3
783,V,re,3
784,V,iare,4
785,V,are,2
786,V,re,5
787,V,re,2
788,V,re,3
789,V,re,2
790,V,re,4
791,V,re,3
792,V,re,2
793,N,,0
794,V,re,2
795,V,re,5
796,N,a,1
797,V,are,1
798,N,,0
799,A,ire,4
800,V,re,4
801,V,re,2
802,A,re,3
803,V,,3
804,V,e,0
805,A,re,3
806,V,re,3
807,V,re,3
808,V,re,3
809,V,,5
810,V,are,7
811,A,re,3
812,V,are,1
813,V,,3
814,V,re,5
815,V,,0
816,V,re,2
817,V,are,7
818,V,are,4
819,V,re,4
820,V,e,2
821,V,ere,3
822,A,,0
823,V,are,6
824,V,re,3
825,V,rre,5
826,V,are,7
827,V,re,4
828,V,re,5
829,V,are,3
830,V,re,4
831,N,o,1
832,V,re,3
833,V,are,1
834,V,are,6
835,V,re,2
836,V,a,1
837,V,e,3
838,V,e,0
839,V,re,3
840,V,re,2
841,V,re,3
842,V,are,1
843,V,re,3
844,V,re,3
845,V,are,1
846,V,,3
847,A,re,3
848,N,o,0
849,V,re,2
850,V,re,3
851,V,re,3
852,V,,0
853,V,are,1
854,V,are,3
855,V,are,5
856,V,re,0
857,V,e,1
858,V,e,0
859,V,e,0
860,V,re,2
861,V,are,3
862,V,e,3
863,V,re,3
864,V,e,2
865,V,are,3
866,V,are,4
867,V,iare,7
868,V,re,4
869,V,re,4
870,V,,2
871,V,re,3
872,V,are,2
873,V,are,6
874,V,re,1
875,V,e,4
876,V,are,6
877,V,are,7
878,N,,0
879,V,are,4
880,V,re,3
881,V,ire,4
882,V,re,4
883,A,e,1
884,V,are,5
885,V,,5
886,V,re,2
887,V,re,1
888,V,are,6
889,V,are,4
890,N,o,0
891,A,,0
892,V,are,6
893,V,are,2
894,V,ere,3
895,V,ire,2
896,V,are,4
897,A,e,1
898,V,are,6
899,V,are,7
900,V,e,2
901,V,e,2
902,V,re,2
903,N,,0
904,A,o,1
905,V,re,0
906,V,re,1
907,V,re,4
908,V,e,0
909,V,are,5
910,V,re,2
911,V,are,5
912,N,o,1
913,V,re,4
914,V,rre,5
915,V,re,2
916,V,are,3
917,V,are,4
918,V,re,5
919,V,re,2
920,N,e,1
921,V,re,3
922,V,re,5
923,A,e,1
924,V,re,0
925,V,re,2
926,V,are,5
927,V,ire,3
928,V,re,2
929,V,are,1
930,V,are,4
931,V,re,4
932,V,re,3
933,V,are,1
934,A,o,1
935,V,e,3
936,A,re,3
937,V,re,2
938,N,o,1
939,V,re,3
940,V,iare,6
941,A,o,1
942,N,a,1
943,V,re,5
944,A,o,1
945,V,re,5
946,V,are,4
947,V,are,5
948,V,are,3
949,V,,5
950,V,e,2
951,V,are,4
952,V,are,6
953,V,re,3
954,V,e,1
955,N,,0
956,V,are,5
957,V,re,3
958,A,,0
959,V,are,6
960,V,re,2
961,V,are,5
962,V,re,3
963,V,are,3
964,V,re,3
965,V,re,2
966,V,re,3
967,V,are,6
968,V,re,0
969,V,re,5
970,V,re,2
971,A,o,1
972,V,are,6
973,V,are,3
974,V,re,2
975,V,are,3
976,V,are,7
977,V,,2
978,V,are,4
979,V,re,4
980,V,re,2
981,V,re,4
982,V,re,3
983,V,re,2
984,V,e,3
985,V,gere,2
986,A,,0
987,V,re,1
988,V,ndere,2
989,A,o,0
990,V,are,4
991,V,re,3
992,A,re,1
993,V,re,5
994,V,are,4
995,V,re,5
996,V,are,1
997,A,e,1
998,V,re,3
999,V,ire,2
1000,A,re,3
1001,V,ere,2
1002,V,re,3
1003,N,,0
1004,A,,0
1005,A,e,1
1006,V,are,6
1007,A,,0
1008,V,e,0
1009,V,gere,3
1010,V,re,2
1011,V,e,3
1012,V,re,3
1013,V,are,5
1014,V,re,3
1015,N,,0
1016,A,re,3
1017,V,e,3
1018,V,are,5
1019,V,ere,1
1020,V,re,3
1021,A,o,1
1022,V,are,6
1023,A,re,2
1024,V,re,5
1025,V,re,3
1026,V,are,4
1027,N,a,1
1028,N,a,1
1029,V,ere,2
1030,V,re,3
1031,N,e,0
1032,V,re,1
1033,V,re,4
1034,V,re,1
1035,V,re,4
1036,V,are,1
1037,V,are,5
1038,V,re,2
1039,V,are,1
1040,V,are,8
1041,V,re,2
1042,V,re,2
1043,N,,0
1044,V,,3
1045,V,are,5
1046,V,are,4
1047,N,,0
1048,N,,0
1049,V,re,2
1050,V,are,5
1051,V,are,6
1052,V,are,5
1053,V,re,5
1054,V,re,3
1055,V,are,6
1056,A,,0
1057,V,are,6
1058,V,are,4
1059,V,are,4
1060,V,iare,6
1061,V,are,6
1062,A,re,3
1063,V,are,3
1064,V,are,6
1065,V,are,4
1066,A,re,3
1067,V,re,1
1068,N,are,1
1069,V,ire,4
1070,V,are,4
1071,A,,0
1072,V,are,7
1073,V,e,0
1074,V,re,3
1075,V,are,1
1076,V,e,2
1077,N,,0
1078,A,o,1
1079,N,,0
1080,V,re,3
1081,V,re,2
1082,V,re,2
1083,V,re,3
1084,V,re,2
1085,V,re,3
1086,V,re,1
1087,V,e,0
1088,V,re,2
1089,V,re,3
1090,V,e,3
1091,V,are,5
1092,V,,4
1093,N,,0
1094,V,re,2
1095,V,re,3
1096,V,are,1
1097,V,re,2
1098,A,re,3
1099,V,e,3
1100,V,are,6
1101,V,,0
1102,N,e,1
1103,V,e,2
1104,A,o,1
1105,A,ire,4
1106,V,re,2
1107,A,re,3
1108,V,re,3
1109,N,,0
1110,V,are,1
1111,V,are,4
1112,V,are,6
1113,V,re,2
1114,V,re,2
1115,A,o,0
1116,V,re,5
1117,V,re,2
1118,A,re,3
1119,N,o,1
1120,V,re,2
1121,V,re,3
1122,N,,0
1123,V,re,2
1124,V,re,2
1125,V,ere,3
1126,V,re,4
1127,V,re,3
1128,V,ere,3
1129,V,are,8
1130,V,re,1
1131,V,e,3
1132,V,re,3
1133,V,re,2
1134,V,are,6
1135,V,are,1
1136,N,,0
1137,V,are,7
1138,V,e,0
1139,V,re,2
1140,V,ere,3
1141,V,re,3
1142,A,a,1
1143,V,re,3
1144,V,re,3
1145,V,ere,2
1146,V,re,3
1147,V,are,4
1148,A,re,3
1149,V,re,4
1150,V,e,0
1151,V,re,4
1152,V,ere,1
1153,V,re,1
1154,V,re,2
1155,V,,0
1156,V,are,6
1157,V,re,1
1158,V,,3
1159,N,e,1
1160,N,o,1
1161,V,re,3
1162,V,re,1
1163,V,are,8
1164,V,,0
1165,V,re,3
1166,A,are,1
1167,V,re,2
1168,V,re,2
1169,V,iare,6
1170,A,o,1
1171,V,are,6
1172,V,e,0
1173,A,ire,4
1174,V,are,6
1175,V,are,3
1176,V,are,3
1177,V,are,5
1178,V,are,5
1179,V,are,5
1180,V,are,6
1181,V,e,3
1182,A,o,1
1183,V,are,4
1184,V,re,3
1185,V,re,4
1186,V,re,2
1187,N,,0
1188,A,o,1
1189,V,are,6
1190,V,re,1
1191,V,,3
1192,V,are,1
1193,V,,3
1194,V,are,7
1195,V,rsi,5
1196,V,re,4
1197,V,,3
1198,N,,0
1199,V,re,4
1200,N,,0
1201,V,ere,3
1202,V,are,8
1203,V,e,2
1204,V,are,3
1205,A,o,1
1206,N,,0
1207,V,re,3
1208,V,are,6
1209,V,are,1
1210,V,are,4
1211,V,re,2
1212,V,re,2
1213,V,re,3
1214,V,are,4
1215,V,are,7
1216,V,re,2
1217,V,are,7
1218,V,re,3
1219,V,re,3
1220,V,,3
1221,V,are,8
1222,V,are,5
1223,V,ere,4
1224,V,re,2
1225,A,re,3
1226,A,re,3
1227,V,are,4
1228,V,e,3
1229,A,re,3
1230,V,re,4
1231,V,are,3
1232,V,re,2
1233,V,re,3
1234,V,rre,4
1235,V,re,2
1236,V,re,2
1237,V,,5
1238,V,re,1
1239,V,re,2
1240,V,re,3
1241,V,re,3
1242,V,re,2
1243,V,e,0
1244,V,are,4
1245,N,,0
1246,N,,0
1247,V,are,2
1248,V,are,6
1249,V,re,3
1250,V,cere,3
1251,V,are,5
1252,V,ere,4
1253,V,re,2
1254,V,are,7
1255,V,re,1
1256,V,re,2
1257,V,e,2
1258,V,e,6
1259,V,re,1
1260,V,are,2
1261,V,re,2
1262,N,,0
1263,V,re,4
1264,V,are,3
1265,V,are,1
1266,V,re,3
1267,V,re,5
1268,V,e,3
1269,V,re,2
1270,V,re,1
1271,V,are,6
1272,V,,0
1273,V,re,5
1274,V,re,3
1275,V,re,2
1276,V,are,4
1277,A,,0
1278,V,re,3
1279,V,re,2
1280,V,re,3
1281,V,re,2
1282,V,rre,4
1283,A,,0
1284,V,are,4
1285,V,re,5
1286,V,e,3
1287,V,re,1
1288,V,are,4
1289,V,are,6
1290,A,,0
1291,A,,0
1292,V,iare,5
1293,N,,0
1294,V,are,1
1295,V,re,3
1296,A,o,1
1297,V,ere,2
1298,V,re,2
1299,V,are,7
1300,V,,3
1301,N,,0
1302,V,e,1
1303,A,re,1
1304,A,re,3
1305,N,o,1
1306,V,re,3
1307,V,,0
1308,V,re,4
1309,V,are,6
1310,V,re,3
1311,A,,1
1312,V,e,2
1313,V,re,3
1314,A,o,2
1315,V,are,4
1316,V,e,2
1317,V,re,3
1318,V,rre,5
1319,V,re,3
1320,V,e,3
1321,A,re,3
1322,V,e,1
1323,V,are,4
1324,V,ere,3
1325,V,are,3
1326,V,are,6
1327,V,cere,4
1328,V,iare,8
1329,V,are,5
1330,V,are,5
1331,V,are,5
1332,V,re,2
1333,V,ere,2
1334,V,re,2
1335,V,are,8
1336,A,o,1
1337,A,o,1
1338,N,,0
1339,V,are,5
1340,A,re,3
1341,V,,0
1342,V,are,5
1343,V,are,5
1344,A,o,1
1345,A,re,3
1346,A,o,0
1347,A,o,3
1348,V,are,4
1349,V,are,4
1350,V,re,2
1351,N,,0
1352,V,re,4
1353,V,re,3
1354,A,,0
1355,V,re,3
1356,A,o,1
1357,V,,1
1358,V,e,2
1359,A,are,3
1360,V,are,3
1361,V,re,2
1362,V,re,4
1363,V,re,2
1364,V,,0
1365,A,re,3
1366,V,ere,3
1367,V,are,4
1368,V,re,4
1369,V,re,2
1370,N,,0
1371,V,re,1
1372,V,re,2
1373,V,re,2
1374,V,ere,4
1375,V,re,4
1376,V,re,4
1377,N,e,1
1378,N,,0
1379,V,are,6
1380,V,re,2
1381,V,are,1
1382,V,e,2
1383,V,re,4
1384,V,gere,2
1385,V,are,7
1386,V,re,2
1387,V,re,2
1388,V,re,3
1389,V,re,2
1390,V,re,2
1391,V,e,4
1392,A,e,1
1393,V,re,2
1394,V,re,3
1395,A,o,1
1396,V,re,3
1397,N,,0
1398,V,nere,5
1399,V,are,6
1400,V,ire,2
1401,V,are,1
1402,V,are,1
1403,V,re,4
1404,N,,0
1405,V,re,2
1406,V,re,2
1407,V,,3
1408,V,,4
1409,V,are,4
1410,V,ndere,2
1411,V,are,5
1412,A,o,1
1413,V,re,3
1414,V,re,5
1415,V,re,1
1416,V,iare,4
1417,V,are,7
1418,V,are,8
1419,V,re,2
1420,V,re,3
1421,V,re,3
1422,A,re,3
1423,A,o,1
1424,V,are,4
1425,V,re,4
1426,N,,0
1427,V,e,3
1428,V,,2
1429,V,e,3
1430,V,re,2
1431,V,re,4
1432,V,re,3
1433,A,o,1
1434,N,,0
1435,V,are,3
1436,A,re,3
1437,V,re,4
1438,V,e,2
1439,A,o,1
1440,N,o,1
1441,V,are,1
1442,V,re,2
1443,V,e,3
1444,N,,0
1445,N,o,2
1446,V,re,1
1447,V,re,3
1448,V,re,2
1449,N,a,1
1450,V,re,1
1451,V,are,5
1452,V,iare,4
1453,A,o,1
1454,V,re,2
1455,V,are,3
1456,V,re,3
1457,V,re,5
1458,V,are,8
1459,V,re,4
1460,V,re,4
1461,V,re,5
1462,V,e,2
1463,V,re,4
1464,V,re,2
1465,V,re,2
1466,V,are,2
1467,N,o,1
1468,V,ere,3
1469,V,re,2
1470,A,,0
1471,V,re,3
1472,V,,3
1473,V,iare,5
1474,V,e,3
1475,V,are,6
1476,V,re,4
1477,V,are,4
1478,V,,0
1479,A,o,1
1480,V,re,2
1481,V,rre,0
1482,V,are,1
1483,V,re,4
1484,A,o,1
1485,V,e,2
1486,V,are,4
1487,V,e,0
1488,V,are,6
1489,A,re,3
1490,V,re,2
1491,V,ere,4
1492,V,are,8
1493,V,re,2
1494,V,re,3
1495,V,,1
1496,V,re,5
1497,V,re,5
1498,V,are,1
1499,V,re,4
1500,V,re,2
1501,V,iare,6
1502,V,ere,4
1503,V,re,4
1504,V,e,0
1505,A,,0
1506,V,are,5
1507,V,re,4
1508,V,are,6
1509,V,are,3
1510,V,re,3
1511,V,re,1
1512,V,are,4
1513,N,o,1
1514,A,re,3
1515,V,re,3
1516,V,,3
1517,V,are,3
1518,V,dere,4
1519,V,are,6
1520,V,,0
1521,A,o,1
1522,V,e,0
1523,N,a,1
1524,V,re,2
1525,V,re,3
1526,V,re,2
1527,V,e,0
1528,V,re,1
1529,V,re,2
1530,V,iare,6
1531,V,re,3
1532,V,re,1
1533,V,are,4
1534,V,re,3
1535,V,,3
1536,N,,0
1537,A,re,3
1538,V,are,2
1539,V,ere,3
1540,V,re,2
1541,V,re,0
1542,N,e,1
1543,V,are,2
1544,V,,0
1545,V,re,3
1546,V,are,3
1547,V,re,3
1548,V,are,4
1549,V,re,3
1550,V,re,3
1551,V,re,2
1552,V,are,6
1553,V,are,4
1554,V,are,5
1555,V,iare,3
1556,N,e,1
1557,N,ndere,1
1558,V,re,2
1559,V,re,4
1560,V,,4
1561,V,are,6
1562,V,,0
1563,V,are,4
1564,V,re,3
1565,A,re,3
1566,V,are,7
1567,V,are,6
1568,V,re,1
1569,V,e,2
1570,V,re,1
1571,V,re,3
1572,V,,0
1573,V,re,3
1574,V,e,4
1575,A,o,0
1576,V,re,2
1577,V,,3
1578,V,re,4
1579,V,re,4
1580,V,re,3
1581,V,re,3
1582,V,e,2
1583,V,,5
1584,V,are,3
1585,V,re,3
1586,V,re,5
1587,V,are,6
1588,V,are,5
1589,V,are,4
1590,V,rre,6
1591,V,are,7
1592,V,re,4
1593,V,re,3
1594,A,,0
1595,N,e,1
1596,V,re,2
1597,N,re,2
1598,A,o,1
1599,V,are,6
1600,V,are,1
1601,V,are,7
1602,V,re,1
1603,V,re,4
1604,V,are,6
1605,V,re,1
1606,V,re,5
1607,V,re,0
1608,N,,0
1609,A,re,3
1610,V,re,3
1611,V,re,3
1612,V,re,2
1613,V,are,6
1614,V,are,6
1615,V,re,3
1616,V,re,3
1617,V,are,4
1618,A,o,1
1619,V,re,2
1620,V,are,7
1621,A,re,3
1622,V,,0
1623,A,o,1
1624,V,e,1
1625,V,ere,1
1626,V,re,3
1627,A,re,3
1628,V,are,1
1629,V,are,6
1630,V,re,2
1631,V,are,4
1632,V,are,6
1633,V,gere,2
1634,V,re,4
1635,A,ire,4
1636,V,are,4
1637,V,re,3
1638,V,are,1
1639,V,e,0
1640,V,ere,5
1641,A,o,1
1642,N,o,1
1643,V,are,7
1644,V,are,6
1645,V,re,1
1646,V,,0
1647,V,e,1
1648,V,are,6
1649,N,e,1
1650,V,re,3
1651,N,a,1
1652,V,re,2
1653,V,re,2
1654,A,o,1
1655,V,re,3
1656,A,,1
1657,V,re,3
1658,V,re,3
1659,V,re,5
1660,V,ere,7
1661,V,are,4
1662,V,re,3
1663,V,re,3
1664,V,are,2
1665,V,re,2
1666,V,re,2
1667,V,are,4
1668,V,,2
